A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
Q16891	0	chr2	-	86371059	86422585	86372004,86373320,86374956,86378643,86380697,86385844,86386794,86389202,86393767,86397967,86398468,86400884,86406745,86408495	86373191,86374825,86378420,86380683,86385715,86386659,86389099,86393631,86397872,86398331,86400773,86406556,86408422,86422461
Q9NZE8	0	chr2	+	86426580	86440913	86426656,86433418,86434450	86433229,86434306,86437603
A0A1C7CYY3	0	chr2	-	86441116	86564749	86444233,86447244,86454521,86459925,86479193,86481937,86491164,86509365	86447093,86454486,86459748,86479080,86481817,86491088,86509293,86564602
Q9Y4C1	0	chr2	+	86668494	86719839	86668567,86669356,86677085,86678336,86682310,86683689,86684000,86684194,86691339,86694006,86697531,86702113,86705152,86705388,86705858,86707485,86709225,86709817,86711281,86712152,86712982,86716560,86716782,86718180,86718398	86669141,86676930,86678226,86682208,86683565,86683928,86684106,86691176,86693495,86697327,86701899,86705000,86705293,86705731,86707290,86709053,86709581,86711110,86712065,86712852,86716441,86716643,86718004,86718264,86719162
Q9Y3E7	0	chr2	-	86730553	86790566	86733072,86734716,86737602,86756520,86769435	86734602,86737481,86756341,86769375,86790427
none	0	chr2	-	86732791	86948245	86733072,86734716,86737602,86756520,86769435,86847592,86915448	86734602,86737481,86756341,86769375,86847453,86915355,86948105
O00237	0	chr2	-	86830521	86850988	86832541,86839397,86847592	86839282,86847453,86849784
Q9H871	0	chr2	+	86947414	87005164	86947932,86968192,86979153,86980681,86992316,86993147,86997248,86998835	86968050,86979019,86980581,86992150,86992982,86997146,86998681,87000471
P01732	0	chr2	-	87011733	87018036	87013094,87015683,87016556,87016873,87017804	87015653,87016446,87016763,87017451,87017900
P10966	0	chr2	-	87065290	87089009	87069442,87072081,87073896,87080209,87085539	87072045,87073807,87080120,87085180,87088946
A0A286YES2	0	chr2	+	87169241	87241099	87169431,87178483,87180176,87180773,87185059,87185550,87190347,87196438,87199079,87201377,87201636,87201927,87203009,87203413,87203822,87204882,87205054,87208323,87211971,87214922,87222103,87224881	87178419,87180065,87180621,87184829,87185405,87190152,87196351,87198870,87201196,87201461,87201804,87202851,87203276,87203676,87204703,87204971,87208206,87211877,87212699,87221964,87224686,87239636
Q02325	0	chr2	-	87237347	87248967	87240242,87243531,87244811	87243425,87244676,87248858
Q02325	0	chr2	+	88047606	88058995	88047721,88051901,88053153	88051766,88053047,88056339
P0DJD1	0	chr2	-	88055479	88125315	88056945,88071883,88074602,88083866,88084688,88088358,88091592,88091860,88092887,88093287,88093712,88094759,88095102,88095367,88097693,88100211,88106410,88111149,88111725,88115940,88116496,88118142	88071688,88074463,88081643,88084594,88088241,88091509,88091681,88092741,88093150,88093554,88094636,88094927,88095186,88097484,88100124,88106215,88111004,88111495,88115788,88116385,88118078,88125177
Q9NPI7	0	chr2	-	88326724	88355302	88328104,88333811,88336570	88333653,88336462,88355145
Q8NB12	0	chr2	+	88367344	88412903	88367520,88384011,88387594,88390661,88393074,88396303,88402669,88406007,88408058	88383835,88387381,88390531,88393036,88396114,88402577,88405844,88407890,88409873
Q6FGL7	0	chr2	-	88422501	88427581	88422623,88424105,88425867	88424013,88425695,88427470
Q86YJ6	0	chr2	+	88469865	88486146	88469975,88472892,88474352,88474920,88478532,88482366,88482592,88484998	88472658,88474158,88474768,88478302,88482218,88482467,88484847,88485417
A8MTJ6	0	chr2	-	88746306	88752211	88748348,88751751	88751415,88751752
Q96LM6	0	chr2	+	88824167	88829103	88824300,88825189,88826015	88825153,88825923,88828570
Q9NZJ5	0	chr2	-	88856259	88926982	88857454,88858497,88861908,88870559,88874964,88876221,88879158,88883060,88885579,88887622,88888419,88890123,88890570,88892923,88895181,88913371	88858435,88861807,88870392,88874184,88876072,88879036,88882948,88885359,88887500,88888279,88889961,88890336,88892790,88894987,88913242,88926485
P49247	0	chr2	+	88991191	89050446	88991501,88998062,88999582,89028855,89034133,89035254,89036193,89037593	88998002,88999527,89028796,89034069,89035186,89036052,89037494,89049498
H7C1X1	0	chr2	-	90537839	90538397	90538139	90538315
Q8WW24	0	chr2	+	95537175	95542568	95537822,95539335,95539853,95540743,95541487	95539265,95539710,95540521,95541333,95542298
P21145	0	chr2	+	95691453	95719737	95691630,95713871,95715451	95713704,95715326,95719126
P82675	0	chr2	-	95751114	95787553	95753326,95756267,95766281,95766639,95767468,95770475,95772202,95774153,95775786,95780948,95783690	95756131,95766219,95766582,95767422,95770385,95772168,95773920,95775661,95780811,95783610,95787479
Q96K75	0	chr2	-	95810745	95825593	95816012,95818514,95819004,95823184	95818419,95818878,95823096,95824985
Q9BSG1	0	chr2	+	95831554	95850065	95831605,95842004,95843354,95846017	95841933,95843228,95845904,95846848
A0A087WUV0	0	chr2	+	95873269	95889587	95873582,95874484,95877468,95878030	95874396,95877366,95877941,95880084
Q8N271	0	chr2	+	95940197	95957050	95940577,95941258,95941880,95942095,95942405,95942809,95943314,95943752,95944532,95944892,95945745,95947113,95947764,95947974,95950863,95951458,95952319,95952605,95952961,95953212,95954048,95954337,95954754	95941209,95941678,95941975,95942342,95942720,95943112,95943678,95944469,95944733,95945593,95946990,95947673,95947890,95950717,95951387,95952227,95952552,95952881,95953144,95953959,95954231,95954681,95954972
Q9Y2W7	0	chr2	+	95963095	96051825	95963201,95976268,96040168,96040665,96040956,96047451,96048229,96049042	95976103,96040044,96040596,96040886,96047344,96048125,96048980,96049750
Q96GK7	0	chr2	+	96068456	96082364	96068620,96071551,96072905,96076334,96076774,96078290,96078512	96071301,96072689,96076275,96076612,96078182,96078425,96078643
A6NCK2	0	chr2	-	96142756	96150502	96143393,96144605,96145156,96146283,96147438,96148466	96144508,96145134,96146053,96147343,96148052,96150354
Q96BQ3	0	chr2	+	96257749	96265526	96257897,96260182,96260893,96262180,96263099,96263725	96259768,96260798,96261950,96263077,96263628,96264840
A0A8J8YUB5	0	chr2	-	96515296	96657572	96516314,96516943,96517535,96517944,96519609,96521928,96523240,96525822,96533329,96542260,96546247,96546371,96548122,96548245,96549993,96550116,96551868,96551992,96553745,96553868,96555619,96555742,96557485,96557608,96559353,96559472,96561219,96561338,96563090,96563213,96564965,96565084,96566835,96566954,96568706,96568829,96570581,96570700,96572451,96572570,96574322,96574445,96576193,96576316,96578064,96578183,96579928,96580051,96581800,96581919,96583675,96583790,96585553,96585668,96587427,96587558,96589315,96589437,96591172,96591295,96593034,96593157,96594892,96595015,96601274,96601392,96604649,96604763,96606947,96610442,96610922,96614344,96616527,96617156,96619753,96622564,96624411,96624533,96626293,96626415,96628172,96628295,96643937,96646533,96648110,96652672,96652954	96516914,96517442,96517874,96519457,96521014,96523057,96525609,96533188,96542187,96546175,96546343,96548050,96548217,96549921,96550088,96551796,96551964,96553673,96553840,96555547,96555714,96557413,96557580,96559281,96559444,96561147,96561310,96563018,96563185,96564893,96565056,96566763,96566926,96568634,96568801,96570509,96570672,96572379,96572542,96574250,96574417,96576121,96576288,96577992,96578155,96579856,96580023,96581728,96581891,96583603,96583762,96585481,96585640,96587355,96587530,96589243,96589409,96591100,96591267,96592962,96593129,96594820,96594987,96601202,96601364,96604577,96604735,96606908,96610375,96610862,96614278,96616497,96617096,96619687,96622534,96624339,96624505,96626221,96626387,96628100,96628267,96643870,96646396,96648004,96652499,96652840,96657260
Q6NUI2	0	chr2	-	96687694	96700664	96688023,96688471,96688771,96688974,96689188,96689748,96690085,96690433,96690591,96691351,96691760,96692053,96692657,96692854,96693300,96693838,96696282,96696596,96697082,96697894,96698167	96688416,96688706,96688854,96689057,96689671,96689937,96690175,96690521,96691233,96691678,96691931,96692445,96692755,96693167,96693739,96696154,96696492,96697009,96697781,96698045,96700601
P18089	0	chr2	-	96778624	96782310		
Q6HA08	0	chr2	-	96788557	96804241	96790010,96795717,96795884,96798460,96799281,96799797,96801151,96803439	96795563,96795803,96798279,96799164,96799704,96801090,96803314,96804121
Q05923	0	chr2	-	96808908	96811179	96809776,96810112,96810621	96809893,96810500,96810706
Q9NQZ5	0	chr2	-	96850597	96874565	96852652,96853039,96858206,96858898,96859090,96860745,96861287	96852955,96858107,96858816,96858980,96860696,96861079,96873883
O75204	0	chr2	-	96914252	96931735	96919853,96920735,96931250	96920571,96930876,96931607
O76071	0	chr2	+	96931963	96939911	96932227,96933207,96933474,96933662,96934396,96935093	96933059,96933363,96933574,96934195,96935006,96936849
O75643	0	chr2	-	96940076	96971284	96940893,96941087,96942723,96942979,96943453,96943688,96944096,96944449,96944736,96945297,96947660,96949090,96949451,96949742,96950323,96951078,96952222,96952615,96952898,96953295,96953707,96954484,96954855,96955117,96955734,96956252,96956553,96957240,96957638,96958833,96959247,96961396,96962429,96962808,96963274,96963458,96964158,96964440,96964705,96965165,96966791,96967454,96969068,96970606	96940995,96942642,96942819,96943277,96943545,96943975,96944285,96944547,96945189,96947552,96948939,96949273,96949551,96950096,96950918,96952049,96952426,96952744,96953177,96953601,96954401,96954775,96954965,96955537,96956064,96956422,96957130,96957489,96958710,96959054,96961226,96962274,96962671,96963101,96963375,96964022,96964341,96964553,96965067,96966736,96967262,96968897,96970443,96971131
Q6GPH6	0	chr2	+	96991055	96994091	96991303,96991587	96991485,96992380
Q15003	0	chr2	+	97001504	97042829	97001586,97007632,97007878,97008586,97009042,97009967,97017758,97019135,97020126,97024931,97025987,97026448,97030329,97031796,97033111,97034801,97035238	97007380,97007788,97008494,97008904,97009843,97017569,97019044,97019921,97024783,97025881,97026326,97030219,97031614,97032995,97034710,97035163,97039030
Q96EH8	0	chr2	-	97163383	97171094	97164183,97165186,97166661	97165115,97166176,97170996
Q03989	0	chr2	+	97202489	97218371	97202567,97213254,97215196,97215542,97216022,97216470	97213139,97215058,97215490,97215925,97216311,97216836
Q9P2N6	0	chr2	-	97258909	97304049	97261368,97267513,97268075,97268599,97270117,97270600,97271248,97274401,97274801,97275299,97276620,97276875,97278090,97278300,97278671,97279356,97285281,97285499,97297219,97302922	97267380,97267853,97268490,97269987,97270516,97271057,97274245,97274601,97275236,97276463,97276801,97278019,97278199,97278555,97279225,97285096,97285409,97297049,97302658,97304020
A0AVI2	0	chr2	+	97308501	97370620	97308658,97312190,97312892,97313623,97315414,97316026,97317757,97319439,97320233,97326108,97327177,97327528,97328004,97329244,97334531,97334705,97334874,97335984,97338991,97350188,97351166,97351854,97352087,97353684,97355113,97355495,97356326,97357090,97357349,97357700,97357918,97359424,97359809,97360201,97361398,97361641,97361814,97363313,97363498,97363893,97364569,97364873,97365457,97365817,97366208,97367780,97368138,97368478,97368814,97369083,97369369,97370099	97312138,97312801,97313515,97315360,97315917,97317629,97319377,97320183,97326078,97327062,97327405,97327952,97329176,97334488,97334623,97334780,97335856,97338814,97350064,97351066,97351677,97351932,97353553,97354950,97355381,97356224,97356927,97357182,97357562,97357841,97359243,97359648,97360097,97361246,97361479,97361789,97363263,97363397,97363774,97364408,97364782,97365287,97365669,97366069,97367692,97368043,97368337,97368715,97368890,97369260,97369952,97370205
Q9H0V9	0	chr2	-	97371666	97405801	97373135,97373570,97377507,97377762,97399338,97400263,97403804	97373451,97377393,97377601,97399256,97400146,97403686,97405591
Q6P4Q7	0	chr2	+	97426639	97477611	97428138,97462892,97463384,97464963,97465385,97474479	97462749,97463250,97464794,97465289,97474298,97475057
Q8NE01	0	chr2	+	97482005	97501119	97483239,97490938,97492719,97493637,97493932,97494437,97494871	97490795,97492570,97493468,97493836,97494304,97494733,97498289
Q86SG2	0	chr2	-	97503649	97509758	97505381,97505562,97505832,97506067,97506251,97506649,97507922,97508248	97505464,97505734,97505969,97506153,97506524,97507797,97508102,97509703
Q53RE8	0	chr2	-	97513727	97523753	97514181,97519341,97520178	97519138,97520075,97523625
Q9C0C4	0	chr2	-	97525455	97535817	97527192,97527386,97527631,97529531,97529885,97530119,97530617,97530852,97531057,97531274,97531501,97531666,97532168,97533660	97527316,97527474,97529419,97529663,97529975,97530442,97530701,97530941,97531178,97531403,97531604,97532020,97533515,97535613
Q8IXR5	0	chr2	-	97541622	97652317	97542045,97543779,97544230,97559788,97568444,97586999,97587391,97589320,97595057,97613639,97617221,97626177,97633364,97636514,97638059,97638343	97543627,97544153,97559663,97568357,97586902,97587215,97589227,97594943,97613555,97617116,97626025,97633257,97636453,97637638,97638275,97651978
Q6P2I3	0	chr2	-	97749320	97760619	97749554,97749772,97750014,97751598,97751935,97756062,97757449,97757725	97749685,97749906,97751436,97751876,97755846,97757199,97757600,97760438
A6QL64	0	chr2	+	97778890	97930258	97779673,97783915,97784254,97788730,97790334,97792871,97808405,97808572,97810283,97810449,97812253,97815098,97817676,97818271,97820478,97823904,97824392,97827875,97830048,97830206,97833342,97833504,97845503,97845670,97847363,97847530,97849224,97849391,97851081,97851247,97852963,97853138,97854852,97855027,97856743,97856918,97858623,97858790,97860491,97860654,97862358,97862525,97864228,97864395,97866099,97866262,97867967,97868130,97869833,97870000,97871705,97871872,97873576,97873743,97875446,97875609,97877311,97877478,97879184,97879351,97881066,97881234,97882942,97883109,97884815,97884983,97890616,97899608,97907216,97909766,97911808,97913365,97914951,97915382,97915910	97783801,97784081,97788624,97790197,97792804,97808377,97808500,97810255,97810377,97812223,97815032,97817616,97818241,97820412,97823844,97824325,97827836,97830020,97830134,97833314,97833432,97845475,97845598,97847335,97847458,97849196,97849319,97851053,97851175,97852935,97853066,97854824,97854955,97856715,97856846,97858595,97858718,97860463,97860582,97862330,97862453,97864200,97864323,97866071,97866190,97867939,97868058,97869805,97869928,97871677,97871800,97873548,97873671,97875418,97875537,97877283,97877406,97879156,97879279,97881038,97881162,97882914,97883037,97884787,97884911,97890543,97899467,97907003,97909583,97910894,97913213,97914881,97915289,97915881,97930066
Q8N2N9	0	chr2	-	98109127	98206340	98109319,98123528,98124120,98124528,98126196,98128515,98129826,98132408,98139930,98148847,98152835,98152959,98154703,98154826,98156569,98156692,98158446,98158570,98160325,98160448,98162201,98162324,98164071,98164194,98165954,98166077,98167824,98167943,98169703,98169834,98171595,98171717,98173472,98173595,98175334,98175457,98177200,98177323,98192909,98195506,98197031,98201580,98201861	98123499,98124027,98124458,98126044,98127601,98129643,98132195,98139789,98148774,98152763,98152931,98154631,98154798,98156497,98156664,98158374,98158542,98160253,98160420,98162129,98162296,98163999,98164166,98165882,98166049,98167752,98167915,98169631,98169806,98171523,98171689,98173400,98173567,98175262,98175429,98177128,98177295,98192842,98195369,98196925,98201407,98201747,98205988
P10606	0	chr2	+	98262525	98264846	98262652,98263603,98263906	98263530,98263807,98264459
P42025	0	chr2	-	98272402	98280507	98273423,98273655,98273972,98274580,98274779,98275106,98275466,98275940,98277109,98278409	98273615,98273911,98274406,98274687,98274890,98275342,98275815,98277034,98278345,98280306
A0A1B0GVN3	0	chr2	+	98286176	98319529	98286297,98291020,98292391,98305456,98306790,98315599,98317767	98290919,98292308,98305358,98306719,98315489,98317617,98319132
P43403	0	chr2	+	98330039	98356323	98330137,98330457,98340901,98341715,98349484,98349675,98349806,98350058,98351175,98351919,98354128,98354360,98354570	98330379,98340479,98341555,98349346,98349588,98349760,98350007,98350983,98351713,98353936,98354220,98354458,98355838
Q92545	0	chr2	-	98372799	98612411	98373846,98375516,98376212,98377152,98377377,98378663,98382726,98383065,98388887,98392481,98409447,98410016,98411578,98412867,98413449,98413979,98418424,98419000,98419253,98421668,98421914,98422166,98426237,98427695,98429018,98429212,98430604,98430851,98431770,98435184,98449889,98451140,98451388,98453620,98458400,98460724,98475890,98504583,98525161,98543950	98375356,98376115,98377056,98377256,98378498,98382577,98382941,98388760,98392306,98408849,98409858,98411393,98412681,98413307,98413828,98418358,98418891,98419115,98421551,98421839,98422014,98426151,98427591,98428884,98429102,98430434,98430698,98431662,98435076,98449828,98451084,98451238,98453540,98458278,98460608,98475767,98504515,98525121,98543889,98611939
